Recording timestamp [ms]	Participant name	AOI hit [Desktop 2022.06.12 - 22.07.32.02 - Truck]
145514	Participant1	1
145531	Participant1	1
145548	Participant1	1
145564	Participant1	1
145581	Participant1	1
145598	Participant1	1
145614	Participant1	1
145631	Participant1	1
145648	Participant1	1
145664	Participant1	1
145681	Participant1	1
145697	Participant1	1
145714	Participant1	1
145731	Participant1	1
145747	Participant1	1
145764	Participant1	1
145781	Participant1	1
145797	Participant1	1
145814	Participant1	1
145831	Participant1	1
145847	Participant1	1
145864	Participant1	1
145881	Participant1	1
145897	Participant1	1
145914	Participant1	1
145931	Participant1	1
146380	Participant1	1
146397	Participant1	1
146414	Participant1	1
146430	Participant1	1
146447	Participant1	1
146464	Participant1	1
146480	Participant1	1
146497	Participant1	1
146514	Participant1	1
146530	Participant1	1
146547	Participant1	1
146564	Participant1	1
146580	Participant1	1
146597	Participant1	1
146613	Participant1	1
146630	Participant1	1
146647	Participant1	1
146663	Participant1	1
146680	Participant1	1
146697	Participant1	1
146713	Participant1	1
146730	Participant1	1
146780	Participant1	1
146797	Participant1	1
146813	Participant1	1
146830	Participant1	1
146847	Participant1	1
146863	Participant1	1
146880	Participant1	1
146897	Participant1	1
146913	Participant1	1
146930	Participant1	1
146947	Participant1	1
146963	Participant1	1
146980	Participant1	1
146997	Participant1	1
147013	Participant1	1
147030	Participant1	1
147047	Participant1	1
147063	Participant1	1
147080	Participant1	1
147213	Participant1	1
147230	Participant1	1
147246	Participant1	1
147263	Participant1	1
147280	Participant1	1
147296	Participant1	1
147313	Participant1	1
147330	Participant1	1
147346	Participant1	1
147363	Participant1	1
147380	Participant1	1
147396	Participant1	1
147413	Participant1	1
147480	Participant1	1
147496	Participant1	1
147513	Participant1	1
147530	Participant1	1
147546	Participant1	1
147563	Participant1	1
147579	Participant1	1
147596	Participant1	1
147613	Participant1	1
147629	Participant1	1
147646	Participant1	1
147663	Participant1	1
147679	Participant1	1
147696	Participant1	1
147746	Participant1	1
147763	Participant1	1
147779	Participant1	1
147796	Participant1	1
147813	Participant1	1
147829	Participant1	1
147846	Participant1	1
147863	Participant1	1
147879	Participant1	1
147896	Participant1	1
147913	Participant1	1
147929	Participant1	1
147946	Participant1	1
148012	Participant1	1
148029	Participant1	1
148046	Participant1	1
148062	Participant1	1
148079	Participant1	1
148096	Participant1	1
148112	Participant1	1
148129	Participant1	1
148146	Participant1	1
148162	Participant1	1
148179	Participant1	1
148196	Participant1	1
148212	Participant1	1
148279	Participant1	1
148296	Participant1	1
148312	Participant1	1
148329	Participant1	1
148346	Participant1	1
148362	Participant1	1
148379	Participant1	1
148396	Participant1	1
148412	Participant1	1
148429	Participant1	1
148495	Participant1	1
148512	Participant1	1
148529	Participant1	1
148545	Participant1	1
148562	Participant1	1
148579	Participant1	1
148595	Participant1	1
148612	Participant1	1
152543	Participant1	1
152559	Participant1	1
152576	Participant1	1
152593	Participant1	1
152609	Participant1	1
152626	Participant1	1
152643	Participant1	1
152659	Participant1	1
152676	Participant1	1
152693	Participant1	1
152709	Participant1	1
152726	Participant1	1
152742	Participant1	1
152759	Participant1	1
152809	Participant1	1
152826	Participant1	1
152842	Participant1	1
152859	Participant1	1
152876	Participant1	1
152892	Participant1	1
152909	Participant1	1
152926	Participant1	1
152942	Participant1	1
152959	Participant1	1
152976	Participant1	1
152992	Participant1	1
153009	Participant1	1
153026	Participant1	1
153042	Participant1	1
153059	Participant1	1
153076	Participant1	1
153092	Participant1	1
153109	Participant1	1
153242	Participant1	1
153259	Participant1	1
153275	Participant1	1
153292	Participant1	1
153309	Participant1	1
153325	Participant1	1
153342	Participant1	1
153359	Participant1	1
153375	Participant1	1
153392	Participant1	1
153409	Participant1	1
153425	Participant1	1
153442	Participant1	1
153459	Participant1	1
153475	Participant1	1
153492	Participant1	1
153509	Participant1	1
153525	Participant1	1
153542	Participant1	1
153559	Participant1	1
153708	Participant1	1
153725	Participant1	1
153742	Participant1	1
153758	Participant1	1
153775	Participant1	1
153792	Participant1	1
153808	Participant1	1
153825	Participant1	1
153842	Participant1	1
153858	Participant1	1
153875	Participant1	1
85748	Participant2	1
85764	Participant2	1
85781	Participant2	1
85798	Participant2	1
85814	Participant2	1
85831	Participant2	1
85848	Participant2	1
85864	Participant2	1
85881	Participant2	1
85898	Participant2	1
85914	Participant2	1
85931	Participant2	1
85947	Participant2	1
85964	Participant2	1
85981	Participant2	1
85997	Participant2	1
86014	Participant2	1
86031	Participant2	1
86047	Participant2	1
86064	Participant2	1
86081	Participant2	1
86097	Participant2	1
86114	Participant2	1
86131	Participant2	1
86147	Participant2	1
86164	Participant2	1
86181	Participant2	1
86197	Participant2	1
86214	Participant2	1
86231	Participant2	1
86247	Participant2	1
86264	Participant2	1
86281	Participant2	1
86297	Participant2	1
86314	Participant2	1
86331	Participant2	1
86347	Participant2	1
86364	Participant2	1
86381	Participant2	1
86397	Participant2	1
86414	Participant2	1
86430	Participant2	1
86447	Participant2	1
86464	Participant2	1
86480	Participant2	1
86497	Participant2	1
86514	Participant2	1
86530	Participant2	1
86547	Participant2	1
86564	Participant2	1
86580	Participant2	1
86597	Participant2	1
86614	Participant2	1
86630	Participant2	1
86647	Participant2	1
86664	Participant2	1
86680	Participant2	1
86697	Participant2	1
86714	Participant2	1
86730	Participant2	1
86747	Participant2	1
86780	Participant2	1
86797	Participant2	1
86814	Participant2	1
86830	Participant2	1
86847	Participant2	1
86864	Participant2	1
86880	Participant2	1
86897	Participant2	1
86913	Participant2	1
86930	Participant2	1
86947	Participant2	1
86963	Participant2	1
86980	Participant2	1
86997	Participant2	1
87013	Participant2	1
87030	Participant2	1
87047	Participant2	1
87063	Participant2	1
87080	Participant2	1
87097	Participant2	1
87113	Participant2	1
87130	Participant2	1
87147	Participant2	1
87163	Participant2	1
87180	Participant2	1
87197	Participant2	1
87213	Participant2	1
87230	Participant2	1
87247	Participant2	1
87263	Participant2	1
87280	Participant2	1
87313	Participant2	1
87330	Participant2	1
87346	Participant2	1
87363	Participant2	1
87380	Participant2	1
87396	Participant2	1
87413	Participant2	1
87430	Participant2	1
87446	Participant2	1
87463	Participant2	1
87480	Participant2	1
87496	Participant2	1
87513	Participant2	1
87530	Participant2	1
87546	Participant2	1
87563	Participant2	1
87580	Participant2	1
87596	Participant2	1
87613	Participant2	1
87746	Participant2	1
87763	Participant2	1
87780	Participant2	1
87796	Participant2	1
87813	Participant2	1
87829	Participant2	1
87846	Participant2	1
87863	Participant2	1
87879	Participant2	1
87896	Participant2	1
87913	Participant2	1
87929	Participant2	1
87946	Participant2	1
87963	Participant2	1
88013	Participant2	1
88029	Participant2	1
88046	Participant2	1
88063	Participant2	1
88079	Participant2	1
88096	Participant2	1
88113	Participant2	1
88129	Participant2	1
88146	Participant2	1
88163	Participant2	1
88179	Participant2	1
88196	Participant2	1
88213	Participant2	1
88229	Participant2	1
88246	Participant2	1
88263	Participant2	1
88279	Participant2	1
88296	Participant2	1
88312	Participant2	1
88329	Participant2	1
88346	Participant2	1
88362	Participant2	1
88379	Participant2	1
88529	Participant2	1
88546	Participant2	1
88562	Participant2	1
88579	Participant2	1
88596	Participant2	1
88612	Participant2	1
88629	Participant2	1
88646	Participant2	1
88662	Participant2	1
88679	Participant2	1
88696	Participant2	1
88712	Participant2	1
88729	Participant2	1
88746	Participant2	1
88762	Participant2	1
88779	Participant2	1
88795	Participant2	1
88812	Participant2	1
88829	Participant2	1
88845	Participant2	1
88862	Participant2	1
88879	Participant2	1
88895	Participant2	1
89312	Participant2	1
89328	Participant2	1
89345	Participant2	1
89362	Participant2	1
89378	Participant2	1
89395	Participant2	1
89412	Participant2	1
89428	Participant2	1
89911	Participant2	1
89928	Participant2	1
89945	Participant2	1
89961	Participant2	1
89978	Participant2	1
89995	Participant2	1
90011	Participant2	1
90028	Participant2	1
90045	Participant2	1
90061	Participant2	1
90078	Participant2	1
90444	Participant2	1
90461	Participant2	1
90478	Participant2	1
90494	Participant2	1
90511	Participant2	1
90528	Participant2	1
90544	Participant2	1
90561	Participant2	1
90578	Participant2	1
90594	Participant2	1
90611	Participant2	1
90628	Participant2	1
90644	Participant2	1
90661	Participant2	1
90677	Participant2	1
90694	Participant2	1
90711	Participant2	1
90727	Participant2	1
90744	Participant2	1
90761	Participant2	1
90777	Participant2	1
90794	Participant2	1
90811	Participant2	1
90827	Participant2	1
90844	Participant2	1
90877	Participant2	1
90894	Participant2	1
90911	Participant2	1
90927	Participant2	1
90944	Participant2	1
90961	Participant2	1
90977	Participant2	1
90994	Participant2	1
91011	Participant2	1
91027	Participant2	1
91044	Participant2	1
91061	Participant2	1
91077	Participant2	1
91094	Participant2	1
91111	Participant2	1
91127	Participant2	1
91144	Participant2	1
91160	Participant2	1
91177	Participant2	1
91194	Participant2	1
91210	Participant2	1
91227	Participant2	1
91244	Participant2	1
91260	Participant2	1
91277	Participant2	1
91310	Participant2	1
91327	Participant2	1
91344	Participant2	1
91360	Participant2	1
91377	Participant2	1
91394	Participant2	1
91410	Participant2	1
91427	Participant2	1
91444	Participant2	1
91460	Participant2	1
91477	Participant2	1
91494	Participant2	1
91510	Participant2	1
91527	Participant2	1
91544	Participant2	1
91560	Participant2	1
91577	Participant2	1
91593	Participant2	1
91610	Participant2	1
91627	Participant2	1
91643	Participant2	1
91660	Participant2	1
91677	Participant2	1
91693	Participant2	1
91710	Participant2	1
91727	Participant2	1
91743	Participant2	1
91760	Participant2	1
91777	Participant2	1
91793	Participant2	1
91810	Participant2	1
91827	Participant2	1
91843	Participant2	1
91860	Participant2	1
91877	Participant2	1
91893	Participant2	1
91910	Participant2	1
91927	Participant2	1
91943	Participant2	1
91960	Participant2	1
